,Mkt-RF,SMB,HML,RMW,CMA,RF
20180601,1.06,-0.22,-0.11,-0.06,-0.17,0.006
20180604,0.48,0.14,-0.46,1.06,-0.3,0.006
20180605,0.16,0.79,-0.43,0.23,0.12,0.006
20180606,0.86,-0.28,0.19,-0.02,0.15,0.006
20180607,-0.14,-0.24,0.91,0.17,0.59,0.006
20180608,0.31,0.05,-0.41,0.27,-0.19,0.006
20180611,0.12,0.15,-0.17,0.22,0.24,0.006
20180612,0.23,0.2,-0.63,0.09,-0.17,0.006
20180613,-0.33,0.05,-0.18,-0.53,-0.16,0.006
20180614,0.27,0.2,-0.99,0.0,-0.6,0.006
20180615,-0.08,0.11,-0.24,0.68,-0.15,0.006
20180618,-0.09,0.75,0.08,-0.45,0.04,0.006
20180619,-0.38,0.52,-0.15,-0.24,-0.36,0.006
20180620,0.23,0.66,-0.49,-0.14,0.08,0.006
20180621,-0.73,-0.56,0.34,0.45,0.13,0.006
20180622,0.11,-0.05,0.46,-0.55,0.86,0.006
20180625,-1.48,-0.47,0.57,0.62,0.15,0.006
20180626,0.27,0.52,-0.24,-0.5,0.1,0.006
20180627,-1.02,-0.98,0.37,-0.08,0.53,0.006
20180628,0.58,-0.19,-0.5,-0.17,-0.56,0.006
20180629,0.07,-0.24,-0.24,-0.24,0.02,0.006
20180702,0.36,0.42,-0.23,-0.07,-0.56,0.008
20180703,-0.44,0.76,0.0,-0.31,0.46,0.008
20180705,0.87,0.39,-0.44,0.35,-0.17,0.008
20180706,0.88,-0.02,-0.31,-0.25,-0.12,0.008
20180709,0.93,-0.29,0.84,0.01,-0.19,0.008
20180710,0.21,-0.83,-0.15,0.1,0.27,0.008
20180711,-0.69,-0.06,-0.45,-0.1,-0.32,0.008
20180712,0.86,-0.41,-1.09,-0.04,-0.49,0.008
20180713,0.08,-0.17,-0.27,0.34,0.19,0.008
20180716,-0.16,-0.63,0.96,-0.21,-0.16,0.008
20180717,0.48,0.16,-0.75,0.14,-0.23,0.008
20180718,0.27,-0.15,0.65,-0.17,-0.14,0.008
20180719,-0.34,0.93,-0.36,0.23,0.05,0.008
20180720,-0.1,-0.16,0.12,0.09,-0.24,0.008
20180723,0.15,-0.19,0.53,-0.2,-0.19,0.008
20180724,0.22,-1.32,0.41,0.46,0.11,0.008
20180725,0.83,-0.59,-1.04,0.06,-0.31,0.008
20180726,-0.2,0.76,0.56,-0.02,0.61,0.008
20180727,-0.82,-1.2,1.08,0.48,0.51,0.008
20180730,-0.7,-0.01,1.58,0.27,1.02,0.008
20180731,0.51,0.71,-1.11,0.33,0.27,0.008
20180801,-0.13,0.0,-0.2,-0.17,-0.74,0.007
20180802,0.67,0.2,-0.69,0.01,-0.56,0.007
20180803,0.31,-0.93,0.53,0.61,0.37,0.007
20180806,0.46,0.22,-0.33,-0.29,-0.22,0.007
20180807,0.29,-0.04,-0.16,-0.3,-0.11,0.007
20180808,-0.04,-0.13,0.28,-0.06,-0.06,0.007
20180809,-0.05,0.35,-0.37,0.06,-0.26,0.007
20180810,-0.6,0.33,-0.2,-0.27,0.25,0.007
20180813,-0.46,-0.22,-0.29,0.3,-0.01,0.007
20180814,0.69,0.31,0.24,0.36,0.19,0.007
20180815,-0.91,-0.52,-0.13,0.64,-0.11,0.007
20180816,0.86,-0.04,0.25,-0.08,0.4,0.007
20180817,0.3,0.12,0.02,0.21,0.16,0.007
20180820,0.25,0.15,0.14,0.1,0.15,0.007
20180821,0.33,0.91,0.1,-0.21,-0.22,0.007
20180822,0.05,0.29,-0.35,-0.5,-0.29,0.007
20180823,-0.19,-0.1,-0.33,-0.01,-0.17,0.007
20180824,0.62,-0.09,-0.58,-0.31,-0.19,0.007
20180827,0.74,-0.61,-0.16,-0.2,-0.35,0.007
20180828,-0.01,-0.12,-0.24,0.12,-0.05,0.007
20180829,0.56,-0.14,-0.57,-0.14,-0.29,0.007
20180830,-0.41,0.23,-0.41,-0.23,-0.12,0.007
20180831,0.08,0.45,-0.39,0.2,-0.14,0.007
20180904,-0.11,-0.33,-0.01,-0.03,-0.16,0.008
20180905,-0.41,-0.03,0.66,0.45,0.57,0.008
20180906,-0.44,-0.36,-0.23,0.43,0.33,0.008
20180907,-0.18,0.08,-0.24,0.02,0.02,0.008
20180910,0.23,0.07,-0.37,0.06,-0.25,0.008
20180911,0.37,-0.33,-0.22,-0.13,-0.38,0.008
20180912,0.03,-0.11,-0.21,0.03,0.54,0.008
20180913,0.45,-0.49,-0.41,0.06,-0.03,0.008
20180914,0.12,0.31,0.25,-0.14,-0.03,0.008
20180917,-0.71,-0.35,0.85,0.3,0.74,0.008
20180918,0.57,0.03,-0.49,-0.21,-0.23,0.008
20180919,0.06,-0.51,1.29,-0.48,-0.03,0.008
20180920,0.77,0.29,-0.23,0.06,-0.07,0.008
20180921,-0.13,-0.43,0.31,0.2,0.66,0.008
20180924,-0.31,-0.07,-0.88,-0.45,-0.29,0.008
20180925,-0.05,0.2,-0.39,-0.33,-0.07,0.008
20180926,-0.4,-0.47,-0.61,0.52,0.1,0.008
20180927,0.27,-0.34,-0.53,0.1,-0.34,0.008
20180928,-0.03,0.35,-0.2,0.12,0.19,0.008
20181001,0.16,-1.62,0.36,-0.16,0.06,0.008
20181002,-0.21,-0.94,0.61,0.11,0.36,0.008
20181003,0.2,0.9,0.49,-0.37,-0.21,0.008
20181004,-0.93,-0.82,1.58,0.11,0.76,0.008
20181005,-0.64,-0.39,0.4,-0.39,0.41,0.008
20181008,-0.17,-0.23,1.21,0.5,0.63,0.008
20181009,-0.18,-0.4,0.27,-0.49,0.2,0.008
20181010,-3.33,0.4,1.1,0.21,0.78,0.008
20181011,-1.96,0.36,-0.92,0.43,-0.57,0.008
20181012,1.38,-1.11,-1.71,0.08,-0.48,0.008
20181015,-0.48,0.98,0.53,0.36,0.5,0.008
20181016,2.24,0.56,-1.45,-0.18,-0.68,0.008
20181017,-0.08,-0.61,0.26,-0.25,0.14,0.008
20181018,-1.54,-0.54,0.44,-0.41,0.35,0.008
20181019,-0.25,-1.24,0.73,0.39,0.55,0.008
20181022,-0.38,0.34,-1.23,1.1,-0.19,0.008
20181023,-0.62,-0.19,-0.43,0.2,-0.11,0.008
20181024,-3.33,-0.81,0.78,0.32,1.25,0.008
20181025,1.93,0.29,-0.6,-0.16,-1.08,0.008
20181026,-1.65,0.57,0.36,-0.37,0.52,0.008
20181029,-0.77,-0.09,1.62,-0.03,0.98,0.008
20181030,1.66,0.45,0.05,0.36,0.37,0.008
20181031,1.22,-0.73,-0.75,-0.32,-0.94,0.008
20181101,1.29,1.2,-1.13,-0.22,-0.51,0.008
20181102,-0.53,0.86,0.67,-0.44,0.23,0.008
20181105,0.4,-0.88,1.56,-0.51,0.77,0.008
20181106,0.58,-0.15,0.01,0.27,0.18,0.008
20181107,2.11,-0.52,-1.03,-0.4,-0.8,0.008
20181108,-0.28,-0.14,0.25,0.4,0.3,0.008
20181109,-1.04,-0.83,0.42,0.61,0.72,0.008
20181112,-2.06,0.09,0.86,0.52,0.89,0.008
20181113,-0.13,-0.08,0.15,0.22,-0.31,0.008
20181114,-0.77,0.03,-0.26,0.57,0.13,0.008
20181115,1.18,0.3,-0.42,-0.83,-0.69,0.008
20181116,0.15,-0.03,-0.06,-0.78,0.18,0.008
20181119,-1.88,-0.35,2.35,0.14,1.24,0.008
20181120,-1.85,0.01,-0.54,-0.31,-0.28,0.008
20181121,0.51,0.96,-0.33,-0.34,0.0,0.008
